SALE TYPE,SOLD DATE,Days_Since_Sold,Month_Sold,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,AGE,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,FAVORITE,LATITUDE,LONGITUDE,STORAGE_STRUCTURE,Garage_Spaces,Basement_Level,Recently_Renovated
PAST SALE,2023-08-24,671,8,Single Family Residential,1500 Reeves Schwab Ln,Smoot,WY,83126,395000,2,2.0,Smoot,1744,69696,1991,34,,226,,Sold,https://www.redfin.com/WY/Smoot/1500-Reeves-Schwab-Ln-83110/home/187935037,TBOR,23-1999,N,42.61539,-110.931953,1,2,0,0
PAST SALE,2023-09-13,651,9,Single Family Residential,1400 Reeves-schwab Rd,Smoot,WY,83126,699000,6,3.0,Smoot,4075,89733,2020,5,,172,,Sold,https://www.redfin.com/WY/Smoot/1400-Reeves-schwab-RD-83126/home/187938343,TBOR,23-754,N,42.618067,-110.933034,1,3,3,0
PAST SALE,2023-07-17,709,7,Single Family Residential,218 EAST E 9th Ave,Afton,WY,83110,379000,3,3.0,Afton,2718,25700,1979,46,,139,,Sold,https://www.redfin.com/WY/Afton/218-EAST-E-9th-Ave-83110/home/187938743,TBOR,23-682,Y,42.717414,-110.927891,0,2,2,1
PAST SALE,2023-08-07,688,8,Single Family Residential,664 Madison St,Afton,WY,83110,349000,3,1.0,Afton,1056,16552,1979,46,,330,,Sold,https://www.redfin.com/WY/Afton/664-Madison-St-83110/home/135394532,TBOR,23-737,N,42.720379,-110.9254463,1,0,2,1
PAST SALE,2023-06-30,726,6,Single Family Residential,176 Knoll,Smoot,WY,83126,975000,3,3.0,ZZZ--VOID--Do NOT Use,2867,402058,2008,17,,340,,Sold,https://www.redfin.com/WY/Smoot/176-N-Knoll-Rd-83126/home/135366341,TBOR,23-347,N,42.613517,-110.916918,1,6,0,1
PAST SALE,2023-06-28,728,6,Single Family Residential,111 E 6th Ave,Afton,WY,83110,349200,3,2.0,Afton,1380,5227,1947,78,,253,,Sold,https://www.redfin.com/WY/Afton/111-E-6th-Ave-83110/home/135399644,TBOR,23-679,N,42.7215457,-110.9312209,1,1,1,1
PAST SALE,2023-09-21,643,9,Single Family Residential,291 Monroe St,Afton,WY,83110,450000,2,2.0,Afton,2548,14374,1951,74,,177,,Sold,https://www.redfin.com/WY/Afton/291-Monroe-St-83110/home/135387725,TBOR,23-1771,N,42.7274728,-110.9217831,1,2,3,0
PAST SALE,2024-06-21,369,6,Single Family Residential,249 Bonneville Rd,Star Valley Ranch,WY,83127,835000,5,3.0,Star Valley Ranch,3189,23086,2019,6,,262,600.0,Sold,https://www.redfin.com/WY/Star-Valley-Ranch/249-Bonneville-Rd-83127/home/165564742,TBOR,24-1529,N,42.953915,-110.953961,0,2,3,0
PAST SALE,2023-07-17,709,7,Single Family Residential,26 Little Grey's Loop,Etna,WY,83118,590000,3,2.0,Etna Village Estates,1606,26136,2022,3,,367,720.0,Sold,https://www.redfin.com/WY/Etna/26-Little-Grey-s-LOOP-Unknown/home/187937331,TBOR,23-174,N,43.035008,-111.017565,0,2,2,0
PAST SALE,2023-06-20,736,6,Single Family Residential,445 Pinto Ln,Etna,WY,83118,699000,3,2.0,Buckskin Crossing,1580,226076,2008,17,,442,100.0,Sold,https://www.redfin.com/WY/Etna/445-Pinto-Ln-83118/home/135360880,TBOR,23-558,N,43.0643677,-111.0135243,0,2,0,0
